Contest,Candidate,Party,Precinct,Votes
Governor (DEM),Gretchen Whitmer,Dem,Alabaster Township Precinct 1,43
Governor (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,AuSable Township Precinct 1,206
Governor (DEM),Write-In (WRITE-IN),,AuSable Township Precinct 1,2
Governor (DEM),Gretchen Whitmer,Dem,Baldwin Township Precinct 1,157
Governor (DEM),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Burleigh Township Precinct 1,40
Governor (DEM),Write-In (WRITE-IN),,Burleigh Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,City of East Tawas Precinct 1,211
Governor (DEM),Write-In (WRITE-IN),,City of East Tawas Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,City of Tawas City Precinct 1,123
Governor (DEM),Write-In (WRITE-IN),,City of Tawas City Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,City of Whittemore Precinct 1,15
Governor (DEM),Write-In (WRITE-IN),,City of Whittemore Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Grant Township Precinct 1,99
Governor (DEM),Write-In (WRITE-IN),,Grant Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Oscoda Township Precinct 1,226
Governor (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Oscoda Township Precinct 2,70
Governor (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
Governor (DEM),Gretchen Whitmer,Dem,Oscoda Township Precinct 3,149
Governor (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 3,1
Governor (DEM),Gretchen Whitmer,Dem,Oscoda Township Precinct 4,167
Governor (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 4,0
Governor (DEM),Gretchen Whitmer,Dem,Plainfield Township Precinct 1,120
Governor (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Plainfield Township Precinct 2,220
