Contest,Candidate,Party,Precinct,Votes
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Elba Township Precinct 1,152
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Elba Township Precinct 1,89
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Emerson Township Precinct 1,167
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Emerson Township Precinct 1,46
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Fulton Township Precinct 1,321
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Fulton Township Precinct 1,235
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Hamilton Township Precinct 1,56
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Hamilton Township Precinct 1,33
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Lafayette Township Precinct 1,86
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Lafayette Township Precinct 1,32
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,New Haven Township Precinct 1,122
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,New Haven Township Precinct 1,75
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Newark Township Precinct 1,150
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Newark Township Precinct 1,58
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,North Shade Township Precinct 1,66
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,North Shade Township Precinct 1,39
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,North Star Township Precinct 1,146
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,North Star Township Precinct 1,73
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Pine River Township Precinct 1,392
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Pine River Township Precinct 1,163
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Seville Township Precinct 1,274
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Seville Township Precinct 1,169
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Sumner Township Precinct 1,248
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Sumner Township Precinct 1,114
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Washington Township Precinct 1,106
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Washington Township Precinct 1,70
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Wheeler Township Precinct 1,324
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Wheeler Township Precinct 1,158
Library Millage Renewal Proposal,Yes,,Arcada Township Precinct 1,283
Library Millage Renewal Proposal,No,,Arcada Township Precinct 1,124
Library Millage Renewal Proposal,Yes,,Bethany Township Precinct 1,206
Library Millage Renewal Proposal,No,,Bethany Township Precinct 1,86
Library Millage Renewal Proposal,Yes,,City of Alma Precinct 1,323
Library Millage Renewal Proposal,No,,City of Alma Precinct 1,97
Library Millage Renewal Proposal,Yes,,City of Alma Precinct 2,361
Library Millage Renewal Proposal,No,,City of Alma Precinct 2,89
Library Millage Renewal Proposal,Yes,,City of Alma Precinct 3,219
Library Millage Renewal Proposal,No,,City of Alma Precinct 3,102
Library Millage Renewal Proposal,Yes,,City of Ithaca Precinct 1,451
Library Millage Renewal Proposal,No,,City of Ithaca Precinct 1,163
Library Millage Renewal Proposal,Yes,,City of St. Louis Precinct 1,451
Library Millage Renewal Proposal,No,,City of St. Louis Precinct 1,111
Library Millage Renewal Proposal,Yes,,Elba Township Precinct 1,153
Library Millage Renewal Proposal,No,,Elba Township Precinct 1,86
Library Millage Renewal Proposal,Yes,,Emerson Township Precinct 1,152
Library Millage Renewal Proposal,No,,Emerson Township Precinct 1,61
Library Millage Renewal Proposal,Yes,,Fulton Township Precinct 1,292
Library Millage Renewal Proposal,No,,Fulton Township Precinct 1,256
Library Millage Renewal Proposal,Yes,,Hamilton Township Precinct 1,52
Library Millage Renewal Proposal,No,,Hamilton Township Precinct 1,34
Library Millage Renewal Proposal,Yes,,Lafayette Township Precinct 1,77
Library Millage Renewal Proposal,No,,Lafayette Township Precinct 1,45
Library Millage Renewal Proposal,Yes,,New Haven Township Precinct 1,104
Library Millage Renewal Proposal,No,,New Haven Township Precinct 1,91
Library Millage Renewal Proposal,Yes,,Newark Township Precinct 1,140
Library Millage Renewal Proposal,No,,Newark Township Precinct 1,68
Library Millage Renewal Proposal,Yes,,North Shade Township Precinct 1,45
Library Millage Renewal Proposal,No,,North Shade Township Precinct 1,43
Library Millage Renewal Proposal,Yes,,North Star Township Precinct 1,143
Library Millage Renewal Proposal,No,,North Star Township Precinct 1,85
Library Millage Renewal Proposal,Yes,,Pine River Township Precinct 1,357
Library Millage Renewal Proposal,No,,Pine River Township Precinct 1,176
Library Millage Renewal Proposal,Yes,,Seville Township Precinct 1,272
Library Millage Renewal Proposal,No,,Seville Township Precinct 1,176
Library Millage Renewal Proposal,Yes,,Sumner Township Precinct 1,221
Library Millage Renewal Proposal,No,,Sumner Township Precinct 1,145
Library Millage Renewal Proposal,Yes,,Washington Township Precinct 1,91
Library Millage Renewal Proposal,No,,Washington Township Precinct 1,79
Library Millage Renewal Proposal,Yes,,Wheeler Township Precinct 1,322
Library Millage Renewal Proposal,No,,Wheeler Township Precinct 1,139
New Haven Renew Road  Bridge  Township Hall and Cemetery Maintenance  Repair and Construction Millage,Yes,,New Haven Township Precinct 1,152
New Haven Renew Road  Bridge  Township Hall and Cemetery Maintenance  Repair and Construction Millage,No,,New Haven Township Precinct 1,44
North Star Road Improvements Millage Renewal,Yes,,North Star Township Precinct 1,147
North Star Road Improvements Millage Renewal,No,,North Star Township Precinct 1,80
Seville Fire and First Responder Millage Renewal Proposal,Yes,,Seville Township Precinct 1,343
Seville Fire and First Responder Millage Renewal Proposal,No,,Seville Township Precinct 1,106
Breckenridge Community Schools Operating Millage Renewal,Yes,,Bethany Township Precinct 1,72
Breckenridge Community Schools Operating Millage Renewal,No,,Bethany Township Precinct 1,11
Breckenridge Community Schools Operating Millage Renewal,Yes,,Emerson Township Precinct 1,8
Breckenridge Community Schools Operating Millage Renewal,No,,Emerson Township Precinct 1,0
Breckenridge Community Schools Operating Millage Renewal,Yes,,Lafayette Township Precinct 1,56
Breckenridge Community Schools Operating Millage Renewal,No,,Lafayette Township Precinct 1,23
Breckenridge Community Schools Operating Millage Renewal,Yes,,Wheeler Township Precinct 1,297
Breckenridge Community Schools Operating Millage Renewal,No,,Wheeler Township Precinct 1,123
Shepherd Public Schools Operating Millage Renewal Proposal,Yes,,Pine River Township Precinct 1,7
Shepherd Public Schools Operating Millage Renewal Proposal,No,,Pine River Township Precinct 1,1
Shepherd Public Schools Operating Millage Renewal Proposal,Yes,,Seville Township Precinct 1,2
Shepherd Public Schools Operating Millage Renewal Proposal,No,,Seville Township Precinct 1,4
Saginaw Intermediate School District Special Education Millage Proposal,Yes,,Lafayette Township Precinct 1,3
Saginaw Intermediate School District Special Education Millage Proposal,No,,Lafayette Township Precinct 1,3
Saginaw Intermediate School District Special Education Millage Proposal,Yes,,Wheeler Township Precinct 1,20
Saginaw Intermediate School District Special Education Millage Proposal,No,,Wheeler Township Precinct 1,22
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,City of Ithaca Precinct 1,483
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,City of Ithaca Precinct 1,132
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,Emerson Township Precinct 1,163
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,Emerson Township Precinct 1,51
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,Fulton Township Precinct 1,375
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,Fulton Township Precinct 1,174
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,Lafayette Township Precinct 1,95
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,Lafayette Township Precinct 1,29
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,New Haven Township Precinct 1,138
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,New Haven Township Precinct 1,57
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,Newark Township Precinct 1,160
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,Newark Township Precinct 1,48
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,Yes,,North Star Township Precinct 1,152
Gratiot Emergency Services Authority Fire Protection and EMS Millage Increase Proposal,No,,North Star Township Precinct 1,77
Ashley Area Fire Authority Fire Services Millage Increase,Yes,,Elba Township Precinct 1,180
Ashley Area Fire Authority Fire Services Millage Increase,No,,Elba Township Precinct 1,61
Ashley Area Fire Authority Fire Services Millage Increase,Yes,,Hamilton Township Precinct 1,57
Ashley Area Fire Authority Fire Services Millage Increase,No,,Hamilton Township Precinct 1,30
Ashley Area Fire Authority Fire Services Millage Increase,Yes,,Washington Township Precinct 1,125
Ashley Area Fire Authority Fire Services Millage Increase,No,,Washington Township Precinct 1,48
County Commissioner District 1 (DEM),Brent DeVries,,City of Alma Precinct 1,156
County Commissioner District 1 (DEM),Write-In (WRITE-IN),,City of Alma Precinct 1,0
County Commissioner District 1 (DEM),Brent DeVries,,Pine River Township Precinct 1,142
County Commissioner District 1 (DEM),Write-In (WRITE-IN),,Pine River Township Precinct 1,0
County Commissioner District 1 (DEM),Brent DeVries,,Seville Township Precinct 1,87
County Commissioner District 1 (DEM),Write-In (WRITE-IN),,Seville Township Precinct 1,0
County Commissioner District 1 (REP),Maria Kolb,,City of Alma Precinct 1,66
County Commissioner District 1 (REP),John Lemmermann,,City of Alma Precinct 1,89
County Commissioner District 1 (REP),Dave Owens,,City of Alma Precinct 1,92
County Commissioner District 1 (REP),Write-In (WRITE-IN),,City of Alma Precinct 1,1
County Commissioner District 1 (REP),Maria Kolb,,Pine River Township Precinct 1,66
County Commissioner District 1 (REP),John Lemmermann,,Pine River Township Precinct 1,107
County Commissioner District 1 (REP),Dave Owens,,Pine River Township Precinct 1,219
County Commissioner District 1 (REP),Write-In (WRITE-IN),,Pine River Township Precinct 1,1
County Commissioner District 1 (REP),Maria Kolb,,Seville Township Precinct 1,59
County Commissioner District 1 (REP),John Lemmermann,,Seville Township Precinct 1,86
County Commissioner District 1 (REP),Dave Owens,,Seville Township Precinct 1,186
County Commissioner District 1 (REP),Write-In (WRITE-IN),,Seville Township Precinct 1,3
County Commissioner District 2 (DEM),David H. Justin,,Bethany Township Precinct 1,44
County Commissioner District 2 (DEM),Write-In (WRITE-IN),,Bethany Township Precinct 1,0
County Commissioner District 2 (DEM),David H. Justin,,City of Alma Precinct 2,200
County Commissioner District 2 (DEM),Write-In (WRITE-IN),,City of Alma Precinct 2,0
County Commissioner District 2 (DEM),David H. Justin,,City of St. Louis Precinct 1,180
County Commissioner District 2 (DEM),Write-In (WRITE-IN),,City of St. Louis Precinct 1,0
County Commissioner District 2 (REP),Jan Bunting,,Bethany Township Precinct 1,92
County Commissioner District 2 (REP),Ralph Echtinaw,,Bethany Township Precinct 1,128
County Commissioner District 2 (REP),Write-In (WRITE-IN),,Bethany Township Precinct 1,2
County Commissioner District 2 (REP),Jan Bunting,,City of Alma Precinct 2,149
County Commissioner District 2 (REP),Ralph Echtinaw,,City of Alma Precinct 2,87
County Commissioner District 2 (REP),Write-In (WRITE-IN),,City of Alma Precinct 2,2
County Commissioner District 2 (REP),Jan Bunting,,City of St. Louis Precinct 1,191
County Commissioner District 2 (REP),Ralph Echtinaw,,City of St. Louis Precinct 1,180
County Commissioner District 2 (REP),Write-In (WRITE-IN),,City of St. Louis Precinct 1,1
County Commissioner District 3 (DEM),Michael Lynch,,Arcada Township Precinct 1,102
County Commissioner District 3 (DEM),Write-In (WRITE-IN),,Arcada Township Precinct 1,0
County Commissioner District 3 (DEM),Michael Lynch,,City of Alma Precinct 3,154
County Commissioner District 3 (DEM),Write-In (WRITE-IN),,City of Alma Precinct 3,0
County Commissioner District 3 (DEM),Michael Lynch,,Emerson Township Precinct 1,36
County Commissioner District 3 (DEM),Write-In (WRITE-IN),,Emerson Township Precinct 1,0
County Commissioner District 3 (DEM),Michael Lynch,,Sumner Township Precinct 1,80
County Commissioner District 3 (DEM),Write-In (WRITE-IN),,Sumner Township Precinct 1,0
County Commissioner District 3 (REP),Justin Barnaby,,Arcada Township Precinct 1,104
County Commissioner District 3 (REP),Timothy Gay,,Arcada Township Precinct 1,180
County Commissioner District 3 (REP),Write-In (WRITE-IN),,Arcada Township Precinct 1,1
County Commissioner District 3 (REP),Justin Barnaby,,City of Alma Precinct 3,66
County Commissioner District 3 (REP),Timothy Gay,,City of Alma Precinct 3,110
County Commissioner District 3 (REP),Write-In (WRITE-IN),,City of Alma Precinct 3,1
County Commissioner District 3 (REP),Justin Barnaby,,Emerson Township Precinct 1,77
County Commissioner District 3 (REP),Timothy Gay,,Emerson Township Precinct 1,87
County Commissioner District 3 (REP),Write-In (WRITE-IN),,Emerson Township Precinct 1,0
County Commissioner District 3 (REP),Justin Barnaby,,Sumner Township Precinct 1,124
County Commissioner District 3 (REP),Timothy Gay,,Sumner Township Precinct 1,155
County Commissioner District 3 (REP),Write-In (WRITE-IN),,Sumner Township Precinct 1,3
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,Elba Township Precinct 1,6
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,Fulton Township Precinct 1,11
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,New Haven Township Precinct 1,4
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,Newark Township Precinct 1,1
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,North Shade Township Precinct 1,2
County Commissioner District 4 (DEM),Write-In (WRITE-IN),,Washington Township Precinct 1,2
County Commissioner District 4 (REP),Bonnie Gustavison,,Elba Township Precinct 1,52
County Commissioner District 4 (REP),Samuel A. Smith,,Elba Township Precinct 1,119
County Commissioner District 4 (REP),Write-In (WRITE-IN),,Elba Township Precinct 1,1
County Commissioner District 4 (REP),Bonnie Gustavison,,Fulton Township Precinct 1,124
County Commissioner District 4 (REP),Samuel A. Smith,,Fulton Township Precinct 1,253
County Commissioner District 4 (REP),Write-In (WRITE-IN),,Fulton Township Precinct 1,1
County Commissioner District 4 (REP),Bonnie Gustavison,,New Haven Township Precinct 1,85
County Commissioner District 4 (REP),Samuel A. Smith,,New Haven Township Precinct 1,68
County Commissioner District 4 (REP),Write-In (WRITE-IN),,New Haven Township Precinct 1,1
County Commissioner District 4 (REP),Bonnie Gustavison,,Newark Township Precinct 1,66
County Commissioner District 4 (REP),Samuel A. Smith,,Newark Township Precinct 1,87
County Commissioner District 4 (REP),Write-In (WRITE-IN),,Newark Township Precinct 1,0
County Commissioner District 4 (REP),Bonnie Gustavison,,North Shade Township Precinct 1,32
County Commissioner District 4 (REP),Samuel A. Smith,,North Shade Township Precinct 1,47
County Commissioner District 4 (REP),Write-In (WRITE-IN),,North Shade Township Precinct 1,0
County Commissioner District 4 (REP),Bonnie Gustavison,,Washington Township Precinct 1,41
County Commissioner District 4 (REP),Samuel A. Smith,,Washington Township Precinct 1,87
County Commissioner District 4 (REP),Write-In (WRITE-IN),,Washington Township Precinct 1,0
County Commissioner District 5 (DEM),Sylvia R. Flegel,,City of Ithaca Precinct 1,166
County Commissioner District 5 (DEM),Write-In (WRITE-IN),,City of Ithaca Precinct 1,0
County Commissioner District 5 (DEM),Sylvia R. Flegel,,Hamilton Township Precinct 1,17
County Commissioner District 5 (DEM),Write-In (WRITE-IN),,Hamilton Township Precinct 1,0
County Commissioner District 5 (DEM),Sylvia R. Flegel,,Lafayette Township Precinct 1,13
County Commissioner District 5 (DEM),Write-In (WRITE-IN),,Lafayette Township Precinct 1,0
County Commissioner District 5 (DEM),Sylvia R. Flegel,,North Star Township Precinct 1,40
County Commissioner District 5 (DEM),Write-In (WRITE-IN),,North Star Township Precinct 1,0
County Commissioner District 5 (DEM),Sylvia R. Flegel,,Wheeler Township Precinct 1,112
County Commissioner District 5 (DEM),Write-In (WRITE-IN),,Wheeler Township Precinct 1,0
County Commissioner District 5 (REP),George Bailey,,City of Ithaca Precinct 1,209
County Commissioner District 5 (REP),Brett Baublitz,,City of Ithaca Precinct 1,219
County Commissioner District 5 (REP),Write-In (WRITE-IN),,City of Ithaca Precinct 1,2
County Commissioner District 5 (REP),George Bailey,,Hamilton Township Precinct 1,33
County Commissioner District 5 (REP),Brett Baublitz,,Hamilton Township Precinct 1,38
County Commissioner District 5 (REP),Write-In (WRITE-IN),,Hamilton Township Precinct 1,0
County Commissioner District 5 (REP),George Bailey,,Lafayette Township Precinct 1,41
County Commissioner District 5 (REP),Brett Baublitz,,Lafayette Township Precinct 1,61
County Commissioner District 5 (REP),Write-In (WRITE-IN),,Lafayette Township Precinct 1,0
County Commissioner District 5 (REP),George Bailey,,North Star Township Precinct 1,70
County Commissioner District 5 (REP),Brett Baublitz,,North Star Township Precinct 1,102
County Commissioner District 5 (REP),Write-In (WRITE-IN),,North Star Township Precinct 1,3
County Commissioner District 5 (REP),George Bailey,,Wheeler Township Precinct 1,230
County Commissioner District 5 (REP),Brett Baublitz,,Wheeler Township Precinct 1,125
County Commissioner District 5 (REP),Write-In (WRITE-IN),,Wheeler Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Arcada Township Precinct 1,101
Road Commissioner (DEM),Write-In (WRITE-IN),,Arcada Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Bethany Township Precinct 1,44
Road Commissioner (DEM),Write-In (WRITE-IN),,Bethany Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,City of Alma Precinct 1,156
Road Commissioner (DEM),Write-In (WRITE-IN),,City of Alma Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,City of Alma Precinct 2,201
Road Commissioner (DEM),Write-In (WRITE-IN),,City of Alma Precinct 2,0
Road Commissioner (DEM),Marc Raycraft,,City of Alma Precinct 3,156
Road Commissioner (DEM),Write-In (WRITE-IN),,City of Alma Precinct 3,0
Road Commissioner (DEM),Marc Raycraft,,City of Ithaca Precinct 1,168
Road Commissioner (DEM),Write-In (WRITE-IN),,City of Ithaca Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,City of St. Louis Precinct 1,180
Road Commissioner (DEM),Write-In (WRITE-IN),,City of St. Louis Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Elba Township Precinct 1,60
Road Commissioner (DEM),Write-In (WRITE-IN),,Elba Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Emerson Township Precinct 1,35
Road Commissioner (DEM),Write-In (WRITE-IN),,Emerson Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Fulton Township Precinct 1,129
Road Commissioner (DEM),Write-In (WRITE-IN),,Fulton Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Hamilton Township Precinct 1,17
Road Commissioner (DEM),Write-In (WRITE-IN),,Hamilton Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Lafayette Township Precinct 1,13
Road Commissioner (DEM),Write-In (WRITE-IN),,Lafayette Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,New Haven Township Precinct 1,34
Road Commissioner (DEM),Write-In (WRITE-IN),,New Haven Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Newark Township Precinct 1,36
Road Commissioner (DEM),Write-In (WRITE-IN),,Newark Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,North Shade Township Precinct 1,18
Road Commissioner (DEM),Write-In (WRITE-IN),,North Shade Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,North Star Township Precinct 1,41
Road Commissioner (DEM),Write-In (WRITE-IN),,North Star Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Pine River Township Precinct 1,143
Road Commissioner (DEM),Write-In (WRITE-IN),,Pine River Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Seville Township Precinct 1,90
Road Commissioner (DEM),Write-In (WRITE-IN),,Seville Township Precinct 1,1
Road Commissioner (DEM),Marc Raycraft,,Sumner Township Precinct 1,80
Road Commissioner (DEM),Write-In (WRITE-IN),,Sumner Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Washington Township Precinct 1,38
Road Commissioner (DEM),Write-In (WRITE-IN),,Washington Township Precinct 1,0
Road Commissioner (DEM),Marc Raycraft,,Wheeler Township Precinct 1,112
Road Commissioner (DEM),Write-In (WRITE-IN),,Wheeler Township Precinct 1,0
Road Commissioner (REP),Derek Hessbrook,,Arcada Township Precinct 1,124
Road Commissioner (REP),Daniel L. Macha,,Arcada Township Precinct 1,71
Road Commissioner (REP),Denis Netzley,,Arcada Township Precinct 1,86
Road Commissioner (REP),Write-In (WRITE-IN),,Arcada Township Precinct 1,2
Road Commissioner (REP),Derek Hessbrook,,Bethany Township Precinct 1,71
Road Commissioner (REP),Daniel L. Macha,,Bethany Township Precinct 1,64
Road Commissioner (REP),Denis Netzley,,Bethany Township Precinct 1,92
Road Commissioner (REP),Write-In (WRITE-IN),,Bethany Township Precinct 1,1
Road Commissioner (REP),Derek Hessbrook,,City of Alma Precinct 1,107
Road Commissioner (REP),Daniel L. Macha,,City of Alma Precinct 1,48
Road Commissioner (REP),Denis Netzley,,City of Alma Precinct 1,71
Road Commissioner (REP),Write-In (WRITE-IN),,City of Alma Precinct 1,1
Road Commissioner (REP),Derek Hessbrook,,City of Alma Precinct 2,75
Road Commissioner (REP),Daniel L. Macha,,City of Alma Precinct 2,66
Road Commissioner (REP),Denis Netzley,,City of Alma Precinct 2,77
Road Commissioner (REP),Write-In (WRITE-IN),,City of Alma Precinct 2,2
Road Commissioner (REP),Derek Hessbrook,,City of Alma Precinct 3,75
Road Commissioner (REP),Daniel L. Macha,,City of Alma Precinct 3,47
Road Commissioner (REP),Denis Netzley,,City of Alma Precinct 3,56
Road Commissioner (REP),Write-In (WRITE-IN),,City of Alma Precinct 3,2
Road Commissioner (REP),Derek Hessbrook,,City of Ithaca Precinct 1,151
Road Commissioner (REP),Daniel L. Macha,,City of Ithaca Precinct 1,210
Road Commissioner (REP),Denis Netzley,,City of Ithaca Precinct 1,63
Road Commissioner (REP),Write-In (WRITE-IN),,City of Ithaca Precinct 1,2
Road Commissioner (REP),Derek Hessbrook,,City of St. Louis Precinct 1,93
Road Commissioner (REP),Daniel L. Macha,,City of St. Louis Precinct 1,119
Road Commissioner (REP),Denis Netzley,,City of St. Louis Precinct 1,134
Road Commissioner (REP),Write-In (WRITE-IN),,City of St. Louis Precinct 1,2
Road Commissioner (REP),Derek Hessbrook,,Elba Township Precinct 1,70
Road Commissioner (REP),Daniel L. Macha,,Elba Township Precinct 1,47
