Contest,Candidate,Party,Precinct,Votes
Senior Citizens Services Renewal Millage Proposal,Yes,,Arcada Township Precinct 1,320
Senior Citizens Services Renewal Millage Proposal,No,,Arcada Township Precinct 1,97
Senior Citizens Services Renewal Millage Proposal,Yes,,Bethany Township Precinct 1,236
Senior Citizens Services Renewal Millage Proposal,No,,Bethany Township Precinct 1,60
Senior Citizens Services Renewal Millage Proposal,Yes,,City of Alma Precinct 1,365
Senior Citizens Services Renewal Millage Proposal,No,,City of Alma Precinct 1,55
Senior Citizens Services Renewal Millage Proposal,Yes,,City of Alma Precinct 2,413
Senior Citizens Services Renewal Millage Proposal,No,,City of Alma Precinct 2,62
Senior Citizens Services Renewal Millage Proposal,Yes,,City of Alma Precinct 3,271
Senior Citizens Services Renewal Millage Proposal,No,,City of Alma Precinct 3,71
Senior Citizens Services Renewal Millage Proposal,Yes,,City of Ithaca Precinct 1,519
Senior Citizens Services Renewal Millage Proposal,No,,City of Ithaca Precinct 1,99
Senior Citizens Services Renewal Millage Proposal,Yes,,City of St. Louis Precinct 1,487
Senior Citizens Services Renewal Millage Proposal,No,,City of St. Louis Precinct 1,83
Senior Citizens Services Renewal Millage Proposal,Yes,,Elba Township Precinct 1,185
Senior Citizens Services Renewal Millage Proposal,No,,Elba Township Precinct 1,56
Senior Citizens Services Renewal Millage Proposal,Yes,,Emerson Township Precinct 1,183
Senior Citizens Services Renewal Millage Proposal,No,,Emerson Township Precinct 1,31
Senior Citizens Services Renewal Millage Proposal,Yes,,Fulton Township Precinct 1,390
Senior Citizens Services Renewal Millage Proposal,No,,Fulton Township Precinct 1,167
Senior Citizens Services Renewal Millage Proposal,Yes,,Hamilton Township Precinct 1,62
Senior Citizens Services Renewal Millage Proposal,No,,Hamilton Township Precinct 1,26
Senior Citizens Services Renewal Millage Proposal,Yes,,Lafayette Township Precinct 1,93
Senior Citizens Services Renewal Millage Proposal,No,,Lafayette Township Precinct 1,26
Senior Citizens Services Renewal Millage Proposal,Yes,,New Haven Township Precinct 1,145
Senior Citizens Services Renewal Millage Proposal,No,,New Haven Township Precinct 1,53
Senior Citizens Services Renewal Millage Proposal,Yes,,Newark Township Precinct 1,161
Senior Citizens Services Renewal Millage Proposal,No,,Newark Township Precinct 1,50
Senior Citizens Services Renewal Millage Proposal,Yes,,North Shade Township Precinct 1,73
Senior Citizens Services Renewal Millage Proposal,No,,North Shade Township Precinct 1,32
Senior Citizens Services Renewal Millage Proposal,Yes,,North Star Township Precinct 1,170
Senior Citizens Services Renewal Millage Proposal,No,,North Star Township Precinct 1,50
Senior Citizens Services Renewal Millage Proposal,Yes,,Pine River Township Precinct 1,444
Senior Citizens Services Renewal Millage Proposal,No,,Pine River Township Precinct 1,114
Senior Citizens Services Renewal Millage Proposal,Yes,,Seville Township Precinct 1,308
Senior Citizens Services Renewal Millage Proposal,No,,Seville Township Precinct 1,133
Senior Citizens Services Renewal Millage Proposal,Yes,,Sumner Township Precinct 1,279
Senior Citizens Services Renewal Millage Proposal,No,,Sumner Township Precinct 1,82
Senior Citizens Services Renewal Millage Proposal,Yes,,Washington Township Precinct 1,124
Senior Citizens Services Renewal Millage Proposal,No,,Washington Township Precinct 1,52
Senior Citizens Services Renewal Millage Proposal,Yes,,Wheeler Township Precinct 1,359
Senior Citizens Services Renewal Millage Proposal,No,,Wheeler Township Precinct 1,122
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Arcada Township Precinct 1,290
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Arcada Township Precinct 1,121
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,Bethany Township Precinct 1,206
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,Bethany Township Precinct 1,91
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,City of Alma Precinct 1,330
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,City of Alma Precinct 1,89
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,City of Alma Precinct 2,377
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,City of Alma Precinct 2,98
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,City of Alma Precinct 3,229
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,City of Alma Precinct 3,112
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,City of Ithaca Precinct 1,449
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,City of Ithaca Precinct 1,168
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,Yes,,City of St. Louis Precinct 1,412
Gratiot County Agricultural and Economic Development Millage Renewal Proposal,No,,City of St. Louis Precinct 1,157
