Contest,Candidate,Party,Precinct,Votes
United States Senator (DEM),Hill Harper,DEM,"Burdell Township, Precinct 1",6
United States Senator (DEM),Elissa Slotkin,DEM,"Burdell Township, Precinct 1",43
United States Senator (DEM),Write-in,DEM,"Burdell Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Cedar Township, Precinct 1",3
United States Senator (DEM),Elissa Slotkin,DEM,"Cedar Township, Precinct 1",18
United States Senator (DEM),Write-in,DEM,"Cedar Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Evart Township, Precinct 1",18
United States Senator (DEM),Elissa Slotkin,DEM,"Evart Township, Precinct 1",75
United States Senator (DEM),Write-in,DEM,"Evart Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Hartwick Township, Precinct 1",3
United States Senator (DEM),Elissa Slotkin,DEM,"Hartwick Township, Precinct 1",17
United States Senator (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Hersey Township, Precinct 1",11
United States Senator (DEM),Elissa Slotkin,DEM,"Hersey Township, Precinct 1",79
United States Senator (DEM),Write-in,DEM,"Hersey Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Highland Township, Precinct 1",8
United States Senator (DEM),Elissa Slotkin,DEM,"Highland Township, Precinct 1",21
United States Senator (DEM),Write-in,DEM,"Highland Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Leroy Township, Precinct 1",7
United States Senator (DEM),Elissa Slotkin,DEM,"Leroy Township, Precinct 1",38
United States Senator (DEM),Write-in,DEM,"Leroy Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Lincoln Township, Precinct 1",10
United States Senator (DEM),Elissa Slotkin,DEM,"Lincoln Township, Precinct 1",45
United States Senator (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Marion Township, Precinct 1",3
United States Senator (DEM),Elissa Slotkin,DEM,"Marion Township, Precinct 1",48
United States Senator (DEM),Write-in,DEM,"Marion Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Middle Branch Township, Precinct 1",0
United States Senator (DEM),Elissa Slotkin,DEM,"Middle Branch Township, Precinct 1",28
United States Senator (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Orient Township, Precinct 1",5
United States Senator (DEM),Elissa Slotkin,DEM,"Orient Township, Precinct 1",27
United States Senator (DEM),Write-in,DEM,"Orient Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Osceola Township, Precinct 1",5
United States Senator (DEM),Elissa Slotkin,DEM,"Osceola Township, Precinct 1",31
United States Senator (DEM),Write-in,DEM,"Osceola Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Richmond Township, Precinct 1",15
United States Senator (DEM),Elissa Slotkin,DEM,"Richmond Township, Precinct 1",72
United States Senator (DEM),Write-in,DEM,"Richmond Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Rose Lake Township, Precinct 1",8
United States Senator (DEM),Elissa Slotkin,DEM,"Rose Lake Township, Precinct 1",54
United States Senator (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Sherman Township, Precinct 1",6
United States Senator (DEM),Elissa Slotkin,DEM,"Sherman Township, Precinct 1",38
United States Senator (DEM),Write-in,DEM,"Sherman Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Sylvan Township, Precinct 1",7
United States Senator (DEM),Elissa Slotkin,DEM,"Sylvan Township, Precinct 1",41
United States Senator (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"City of Evart, Precinct 1",9
United States Senator (DEM),Elissa Slotkin,DEM,"City of Evart, Precinct 1",44
United States Senator (DEM),Write-in,DEM,"City of Evart, Precinct 1",1
United States Senator (DEM),Hill Harper,DEM,"City of Reed City, Precinct 1",13
United States Senator (DEM),Elissa Slotkin,DEM,"City of Reed City, Precinct 1",95
United States Senator (DEM),Write-in,DEM,"City of Reed City, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Burdell Township, Precinct 1",40
Representative in Congress 2nd District (DEM),Write-in,DEM,"Burdell Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Cedar Township, Precinct 1",20
Representative in Congress 2nd District (DEM),Write-in,DEM,"Cedar Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Evart Township, Precinct 1",83
Representative in Congress 2nd District (DEM),Write-in,DEM,"Evart Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Hartwick Township, Precinct 1",16
Representative in Congress 2nd District (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Hersey Township, Precinct 1",84
Representative in Congress 2nd District (DEM),Write-in,DEM,"Hersey Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Highland Township, Precinct 1",24
Representative in Congress 2nd District (DEM),Write-in,DEM,"Highland Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Leroy Township, Precinct 1",42
Representative in Congress 2nd District (DEM),Write-in,DEM,"Leroy Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Lincoln Township, Precinct 1",48
Representative in Congress 2nd District (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Marion Township, Precinct 1",39
Representative in Congress 2nd District (DEM),Write-in,DEM,"Marion Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Middle Branch Township, Precinct 1",27
Representative in Congress 2nd District (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Orient Township, Precinct 1",30
Representative in Congress 2nd District (DEM),Write-in,DEM,"Orient Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Osceola Township, Precinct 1",31
Representative in Congress 2nd District (DEM),Write-in,DEM,"Osceola Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Richmond Township, Precinct 1",73
Representative in Congress 2nd District (DEM),Write-in,DEM,"Richmond Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Rose Lake Township, Precinct 1",57
Representative in Congress 2nd District (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",1
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Sherman Township, Precinct 1",40
Representative in Congress 2nd District (DEM),Write-in,DEM,"Sherman Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Sylvan Township, Precinct 1",47
Representative in Congress 2nd District (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"City of Evart, Precinct 1",44
Representative in Congress 2nd District (DEM),Write-in,DEM,"City of Evart, Precinct 1",1
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"City of Reed City, Precinct 1",103
Representative in Congress 2nd District (DEM),Write-in,DEM,"City of Reed City, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Burdell Township, Precinct 1",11
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Burdell Township, Precinct 1",32
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Burdell Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Cedar Township, Precinct 1",6
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Cedar Township, Precinct 1",15
