Contest,Candidate,Party,Precinct,Votes
United States Senator (DEM),Hill Harper,DEM,"Ash Township, Precinct 1",18
United States Senator (DEM),Elissa Slotkin,DEM,"Ash Township, Precinct 1",143
United States Senator (DEM),Write-in,DEM,"Ash Township, Precinct 1",2
United States Senator (DEM),Hill Harper,DEM,"Ash Township, Precinct 2",22
United States Senator (DEM),Elissa Slotkin,DEM,"Ash Township, Precinct 2",210
United States Senator (DEM),Write-in,DEM,"Ash Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Ash Township, Precinct 3",13
United States Senator (DEM),Elissa Slotkin,DEM,"Ash Township, Precinct 3",127
United States Senator (DEM),Write-in,DEM,"Ash Township, Precinct 3",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 1",11
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 1",57
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 1",1
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 2",18
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 2",115
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 3",17
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 3",91
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 3",1
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 4",29
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 4",166
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 4",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 5",22
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 5",130
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 5",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 6",39
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 6",157
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 6",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 7",19
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 7",138
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 7",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 8",25
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 8",164
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 8",1
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 9",16
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 9",97
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 9",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 10",15
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 10",90
United States Senator (DEM),Write-in,DEM,"Bedford Township, Precinct 10",0
United States Senator (DEM),Hill Harper,DEM,"Bedford Township, Precinct 11",25
United States Senator (DEM),Elissa Slotkin,DEM,"Bedford Township, Precinct 11",100
