Contest,Candidate,Party,Precinct,Votes
United States Senator (DEM),Hill Harper,DEM,"City of Coleman, Precinct 1",13
United States Senator (DEM),Elissa Slotkin,DEM,"City of Coleman, Precinct 1",52
United States Senator (DEM),Write-in,DEM,"City of Coleman, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 1",49
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 1",303
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 2A",32
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 2A",209
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 2A",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 2B",1
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 2B",6
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 2B",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 3",43
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 3",288
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 3",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 4",51
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 4",475
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 4",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 5",60
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 5",311
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 5",1
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 6",67
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 6",412
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 6",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 7",70
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 7",449
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 7",1
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 8",54
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 8",430
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 8",0
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 9",70
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 9",419
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 9",0
