Contest,Candidate,Party,Precinct,Votes
United States Senator for State (DEM),Hill Harper,DEM,"City of Fremont, Precinct 1",14
United States Senator for State (DEM),Elissa Slotkin,DEM,"City of Fremont, Precinct 1",109
United States Senator for State (DEM),Write-in,DEM,"City of Fremont, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"City of Fremont, Precinct 2",20
United States Senator for State (DEM),Elissa Slotkin,DEM,"City of Fremont, Precinct 2",79
United States Senator for State (DEM),Write-in,DEM,"City of Fremont, Precinct 2",0
United States Senator for State (DEM),Hill Harper,DEM,"City of Grant, Precinct 1",2
United States Senator for State (DEM),Elissa Slotkin,DEM,"City of Grant, Precinct 1",16
United States Senator for State (DEM),Write-in,DEM,"City of Grant, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"City of Newaygo, Precinct 1",14
United States Senator for State (DEM),Elissa Slotkin,DEM,"City of Newaygo, Precinct 1",64
United States Senator for State (DEM),Write-in,DEM,"City of Newaygo, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"City of White Cloud, Precinct 1",9
United States Senator for State (DEM),Elissa Slotkin,DEM,"City of White Cloud, Precinct 1",24
United States Senator for State (DEM),Write-in,DEM,"City of White Cloud, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Ashland Township, Precinct 1",7
United States Senator for State (DEM),Elissa Slotkin,DEM,"Ashland Township, Precinct 1",66
United States Senator for State (DEM),Write-in,DEM,"Ashland Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Barton Township, Precinct 1",4
United States Senator for State (DEM),Elissa Slotkin,DEM,"Barton Township, Precinct 1",9
United States Senator for State (DEM),Write-in,DEM,"Barton Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Beaver Township, Precinct 1",6
United States Senator for State (DEM),Elissa Slotkin,DEM,"Beaver Township, Precinct 1",13
United States Senator for State (DEM),Write-in,DEM,"Beaver Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Big Prairie Township, Precinct 1",19
United States Senator for State (DEM),Elissa Slotkin,DEM,"Big Prairie Township, Precinct 1",84
United States Senator for State (DEM),Write-in,DEM,"Big Prairie Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Bridgeton Township, Precinct 1",11
United States Senator for State (DEM),Elissa Slotkin,DEM,"Bridgeton Township, Precinct 1",67
United States Senator for State (DEM),Write-in,DEM,"Bridgeton Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Brooks Township, Precinct 1",22
United States Senator for State (DEM),Elissa Slotkin,DEM,"Brooks Township, Precinct 1",127
United States Senator for State (DEM),Write-in,DEM,"Brooks Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Croton Township, Precinct 1",16
United States Senator for State (DEM),Elissa Slotkin,DEM,"Croton Township, Precinct 1",167
United States Senator for State (DEM),Write-in,DEM,"Croton Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Dayton Township, Precinct 1",16
United States Senator for State (DEM),Elissa Slotkin,DEM,"Dayton Township, Precinct 1",80
United States Senator for State (DEM),Write-in,DEM,"Dayton Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Denver Township, Precinct 1",11
United States Senator for State (DEM),Elissa Slotkin,DEM,"Denver Township, Precinct 1",82
United States Senator for State (DEM),Write-in,DEM,"Denver Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Ensley Township, Precinct 1",14
United States Senator for State (DEM),Elissa Slotkin,DEM,"Ensley Township, Precinct 1",67
United States Senator for State (DEM),Write-in,DEM,"Ensley Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Everett Township, Precinct 1",21
United States Senator for State (DEM),Elissa Slotkin,DEM,"Everett Township, Precinct 1",72
United States Senator for State (DEM),Write-in,DEM,"Everett Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Garfield Township, Precinct 1",11
United States Senator for State (DEM),Elissa Slotkin,DEM,"Garfield Township, Precinct 1",67
United States Senator for State (DEM),Write-in,DEM,"Garfield Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Goodwell Township, Precinct 1",3
United States Senator for State (DEM),Elissa Slotkin,DEM,"Goodwell Township, Precinct 1",19
United States Senator for State (DEM),Write-in,DEM,"Goodwell Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Grant Township, Precinct 1",11
United States Senator for State (DEM),Elissa Slotkin,DEM,"Grant Township, Precinct 1",65
United States Senator for State (DEM),Write-in,DEM,"Grant Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Home Township, Precinct 1",0
United States Senator for State (DEM),Elissa Slotkin,DEM,"Home Township, Precinct 1",16
United States Senator for State (DEM),Write-in,DEM,"Home Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Lilley Township, Precinct 1",3
United States Senator for State (DEM),Elissa Slotkin,DEM,"Lilley Township, Precinct 1",43
United States Senator for State (DEM),Write-in,DEM,"Lilley Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Lincoln Township, Precinct 1",12
United States Senator for State (DEM),Elissa Slotkin,DEM,"Lincoln Township, Precinct 1",53
United States Senator for State (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Merrill Township, Precinct 1",27
United States Senator for State (DEM),Elissa Slotkin,DEM,"Merrill Township, Precinct 1",28
United States Senator for State (DEM),Write-in,DEM,"Merrill Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Monroe Township, Precinct 1",0
United States Senator for State (DEM),Elissa Slotkin,DEM,"Monroe Township, Precinct 1",17
United States Senator for State (DEM),Write-in,DEM,"Monroe Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Norwich Township, Precinct 1",3
United States Senator for State (DEM),Elissa Slotkin,DEM,"Norwich Township, Precinct 1",29
United States Senator for State (DEM),Write-in,DEM,"Norwich Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Sheridan Charter Township, Precinct 1",11
United States Senator for State (DEM),Elissa Slotkin,DEM,"Sheridan Charter Township, Precinct 1",93
United States Senator for State (DEM),Write-in,DEM,"Sheridan Charter Township, Precinct 1",0
United States Senator for State (DEM),Hill Harper,DEM,"Sherman Township, Precinct 1",7
United States Senator for State (DEM),Elissa Slotkin,DEM,"Sherman Township, Precinct 1",46
